Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
SUCR,X11,PoW,4229040.50393462,19800000.0,-0.23988325475832947,-0.8982962109167383,0.012576637435269038,0,Sucre
SPK,NeoScrypt,PoW,7847417.33355824,21000000.0,-0.1875286549439457,-1.628791959497018,0.11279114588325695,0,SparksPay
WAGE,Quark,PoS,27299680.0,120000000.0,-0.33742957592216444,1.4434664872033176,-0.1097577306519401,1,Digiwage
GUN,NeoScrypt,PoW,299797953.0,500000000.0,-0.18056048254266233,-1.6289726959577833,0.11267782268603484,0,GunCoin
IRL,Scrypt,PoW,45483049.3398182,64000000.0,-0.17006681006456975,-1.0974135486278584,-0.016414175332599017,0,IrishCoin
TROLL,Scrypt,PoW/PoS,591022748.0,900000000.0,-0.32426046538677616,1.1320309119705116,-0.3768590678960216,1,Trollcoin
LCP,Scrypt,PoW/PoS,2504486.227718,4000000.0,-0.33781322370465544,1.1323562462486896,-0.3766380940549598,1,Litecoin Plus
MONK,X11,PoS,4407252.0,21000000.0,-0.3467653678699995,0.9837234359871218,-0.12662557466427057,1,Monkey Project
PCOIN,X11,PoW,8478104.33969947,23000000.0,-0.23980860579456287,-0.8982967275003909,0.012575392756796838,0,Pioneer Coin
UBTC,SHA-256,PoW,20166000.0,20166000.0,-0.148955896501437,-1.254084359258748,0.11815211943843507,0,UnitedBitcoin
ITZ,C11,PoW,11916588.09471,23000000.0,-0.21655290311360373,-1.1927087777345549,0.11333206202649602,0,Interzone
TPAY,POS 3.0,PoS,20445861.5344251,25000000.0,-0.3229473452235866,1.3995512677379633,-0.07594836340380297,1,TokenPay
MCT,Ethash,PoS,1618033.0,1618033.0,-0.262191318806577,-0.14351100457931726,0.12697209398898698,0,1717 Masonic Commemorative Token
MBC,Scrypt,PoW and PoS,9399342.52839847,30000000.0,-0.29940655895456997,0.3286667432858815,-0.21759147625219066,1,My Big Coin
TRTL,CryptoNight,PoW,53139835213.77,1000000000000.0,8.047903975893067,-2.8721633876844797,0.12506453450614585,0,TurtleCoin
MUN,SkunkHash,PoW,4818338.98949984,16600000.0,-0.16605813477196538,-2.2759661427794646,0.16996906395570902,0,MUNcoin
USX,Scrypt,PoW/PoS,234846265.782157,232000000.0,-0.3333550619556157,1.1322982804029762,-0.37671184266013313,1,Unified Society USDEX
